,Country,Rank_b,date_of_info_b,broadband_users,Rank_e,date_of_info_e,percent_education_of_gdp,Rank_g,date_of_info_g,gini_index,Rank_i,date_of_info_i,infant_deaths_per_1K_births,Rank_n,date_of_info_n,internet_users,Rank_m,date_of_info_m,maternal_deaths_per100Kbirths,Rank_u,date_of_info_u,percent_labor_force_unemployed
191,Bhutan,192.0,2020.0,3189.0,22.0,2021.0,7.0,79.0,2017.0,37.4,61.0,2022.0,25.61,162.0,2020.0,416671.0,51.0,2017.0,183.0,60.0,2021.0,4.33
192,Guam,193.0,2020.0,3000.0,,,,,,,125.0,2022.0,11.2,178.0,2019.0,135509.0,,,,115.0,2021.0,6.98
193,Vanuatu,194.0,2020.0,2785.0,183.0,2020.0,2.2,77.0,2010.0,37.6,105.0,2022.0,14.0,183.0,2019.0,77969.0,82.0,2017.0,72.0,21.0,2021.0,2.18
194,Cook Islands,195.0,2018.0,2700.0,91.0,2021.0,4.6,,,,93.0,2022.0,15.53,216.0,2019.0,9476.0,,,,179.0,2005.0,13.1
195,Montserrat,196.0,2018.0,2700.0,61.0,2020.0,5.4,,,,135.0,2022.0,10.04,224.0,2019.0,2744.0,,,,96.0,2017.0,5.6
196,Sao Tome and Principe,197.0,2020.0,2512.0,78.0,2020.0,5.0,54.0,2017.0,40.7,27.0,2022.0,43.48,186.0,2020.0,72323.0,62.0,2017.0,130.0,197.0,2021.0,15.91
197,Guinea-Bissau,198.0,2020.0,2383.0,169.0,2020.0,2.7,105.0,2018.0,34.8,21.0,2022.0,47.69,159.0,2020.0,452640.0,8.0,2017.0,667.0,114.0,2021.0,6.76
198,Samoa,199.0,2020.0,1692.0,85.0,2020.0,4.8,66.0,2013.0,38.7,90.0,2022.0,17.76,190.0,2019.0,67012.0,98.0,2017.0,43.0,157.0,2021.0,9.84
199,Palau,200.0,2015.0,1224.0,24.0,2019.0,6.8,,,,126.0,2022.0,11.04,217.0,2016.0,7650.0,,,,13.0,2015.0,1.7
200,Comoros,201.0,2020.0,1066.0,173.0,2015.0,2.6,27.0,2014.0,45.3,13.0,2022.0,56.01,188.0,2020.0,69568.0,40.0,2017.0,273.0,154.0,2021.0,9.45
201,"Congo, Republic of the",202.0,2020.0,1000.0,97.0,2020.0,4.5,15.0,2011.0,48.9,24.0,2022.0,46.62,157.0,2019.0,484245.0,29.0,2017.0,378.0,216.0,2021.0,23.01
202,Equatorial Guinea,203.0,2020.0,1000.0,,,,,,,4.0,2022.0,77.85,168.0,2019.0,352555.0,37.0,2017.0,301.0,152.0,2021.0,9.24
203,Falkland Islands (Islas Malvinas),204.0,2020.0,1000.0,,,,91.0,2015.0,36.0,,,,223.0,2019.0,3343.0,,,,5.0,2016.0,1.0
204,Guinea,205.0,2020.0,1000.0,182.0,2020.0,2.2,150.0,2018.0,29.6,19.0,2022.0,48.32,109.0,2020.0,3414526.0,14.0,2017.0,576.0,105.0,2021.0,6.34
205,Marshall Islands,206.0,2020.0,1000.0,1.0,2020.0,13.6,97.0,2019.0,35.5,77.0,2022.0,21.13,210.0,2019.0,22929.0,,,,228.0,2006.0,36.0
206,"Saint Helena, Ascension, and Tristan da Cunha",207.0,2018.0,1000.0,,,,,,,88.0,2022.0,18.62,225.0,2019.0,2302.0,,,,186.0,1998.0,14.0
207,Solomon Islands,208.0,2020.0,1000.0,2.0,2020.0,12.8,82.0,2013.0,37.1,80.0,2022.0,19.53,182.0,2019.0,80379.0,69.0,2017.0,104.0,7.0,2021.0,1.03
208,Nauru,209.0,2010.0,950.0,20.0,2021.0,7.1,106.0,2012.0,34.8,152.0,2022.0,7.72,219.0,2019.0,6136.0,,,,215.0,2011.0,23.0
209,Central African Republic,210.0,2019.0,499.0,181.0,2020.0,2.2,4.0,2008.0,56.2,3.0,2022.0,81.74,158.0,2020.0,482976.0,5.0,2017.0,829.0,109.0,2021.0,6.57
210,Tuvalu,211.0,2017.0,450.0,,,,62.0,2010.0,39.1,56.0,2022.0,28.32,220.0,2019.0,5711.0,,,,,,
211,South Sudan,212.0,2019.0,200.0,191.0,2016.0,1.5,23.0,2010.0,46.0,8.0,2022.0,61.63,151.0,2020.0,783561.0,1.0,2017.0,1150.0,185.0,2021.0,13.91
212,Kiribati,213.0,2020.0,185.0,3.0,2019.0,12.4,162.0,2019.0,27.8,45.0,2022.0,32.2,198.0,2020.0,45390.0,73.0,2017.0,92.0,226.0,2010.0,30.6
213,Timor-Leste,214.0,2020.0,75.0,110.0,2020.0,4.2,160.0,2014.0,28.7,40.0,2022.0,32.93,165.0,2020.0,382348.0,60.0,2017.0,142.0,80.0,2021.0,5.07
214,Sierra Leone,,,,8.0,2021.0,9.1,95.0,2018.0,35.7,5.0,2022.0,72.3,138.0,2020.0,1435857.0,3.0,2017.0,1120.0,90.0,2021.0,5.33
215,Turks and Caicos Islands,,,,102.0,2021.0,4.5,,,,124.0,2022.0,11.32,,,,,,,158.0,1997.0,10.0
216,Chad,,,,162.0,2021.0,2.9,78.0,2018.0,37.5,7.0,2022.0,63.99,133.0,2020.0,1642586.0,2.0,2017.0,1140.0,16.0,2021.0,1.88
217,Kosovo,,,,,,,156.0,2017.0,29.0,66.0,2022.0,24.93,136.0,2019.0,1502658.0,,,,225.0,2017.0,30.5
218,"Korea, North",,,,,,,,,,74.0,2022.0,22.0,,,,74.0,2017.0,89.0,25.0,2021.0,2.59
219,Northern Mariana Islands,,,,,,,,,,112.0,2022.0,12.17,213.0,2016.0,17418.0,,,,166.0,2010.0,11.2
220,American Samoa,,,,,,,,,,137.0,2022.0,9.87,214.0,2020.0,17147.0,,,,224.0,2005.0,29.8
221,Saint Pierre and Miquelon,,,,,,,,,,149.0,2022.0,7.97,221.0,2016.0,4500.0,,,,145.0,2015.0,8.7
222,Sint Maarten,,,,,,,,,,151.0,2022.0,7.81,204.0,2022.0,39100.0,,,,174.0,2012.0,12.0
223,Virgin Islands,,,,,,,,,,154.0,2022.0,7.49,189.0,2019.0,68268.0,,,,181.0,2021.0,13.27
224,Saint Barthelemy,,,,,,,,,,160.0,2022.0,6.58,218.0,2020.0,7128.0,,,,,,
225,Saint Martin,,,,,,,,,,161.0,2022.0,6.58,212.0,2022.0,19300.0,,,,,,
226,Isle of Man,,,,,,,,,,185.0,2022.0,4.16,,,,,,,8.0,2017.0,1.1
227,Wallis and Futuna,,,,,,,,,,189.0,2022.0,3.94,227.0,2019.0,1029.0,,,,146.0,2013.0,8.8
228,Antarctica,,,,,,,,,,,,,222.0,2016.0,4400.0,,,,,,
229,Niue,,,,,,,,,,,,,226.0,2019.0,1292.0,,,,173.0,2001.0,12.0
230,Tokelau,,,,,,,,,,,,,228.0,2019.0,805.0,,,,18.0,2015.0,2.0
231,Christmas Island,,,,,,,,,,,,,229.0,2016.0,790.0,,,,,,
232,Norfolk Island,,,,,,,,,,,,,230.0,2016.0,612.0,,,,,,
233,Pitcairn Islands,,,,,,,,,,,,,231.0,2022.0,50.0,,,,,,
234,Cocos (Keeling) Islands,,,,,,,,,,,,,,,,,,,1.0,2011.0,0.1
